EMPLOYER_NAME,NAICS_CODE,EMPLOYER_STATE,YEAR,QUARTER,TOTAL_CASES,TOTAL_WORKERS,AVG_SALARY,MAX_SALARY,APPROVAL_RATE
SEMPRA ENERGY CORPORATION,221118,CA,2025,Q2,1,1,141710.000000,141710,100.00
"TRANS WORLD INTERNATIONAL, LLC",711410,NY,2025,Q2,1,1,154000.000000,154000,100.00
JORDAN PUBLIC SCHOOLS,611110,MT,2025,Q2,2,2,43003.000000,43003,100.00
MARCUM ASIA CPAS LLP,54121,NY,2025,Q2,2,2,71500.000000,75000,100.00
JSM CONSULTING INC,541511,NJ,2025,Q2,2,2,71.500000,80,100.00
GOLD DEPOT INC,423940,TX,2025,Q2,1,1,72000.000000,72000,100.00
PANASONIC WELL  LLC,5419,CA,2025,Q2,2,2,200000.000000,200000,100.00
THE WECARE GROUP,621498,CA,2025,Q2,1,1,187200.000000,187200,100.00
ACI GIFT CARDS LLC,45411,WA,2025,Q2,1,1,125950.000000,125950,100.00
RITE SOFTWARE SOLUTIONS & SERVICES LLC,541511,TX,2025,Q2,3,3,156666.666667,200000,100.00
"TEKNEST, INC.",541511,MI,2025,Q2,1,1,105227.000000,105227,100.00
ANOTHERLAND VENTURES LLC,711410,CA,2025,Q2,1,1,360750.000000,360750,100.00
"COMPASS, INC. ",541511,IL,2025,Q2,1,1,45.000000,45,100.00
MUROC JOINT UNIFIED SCHOOL DISTRICT,611110,CA,2025,Q2,1,1,51510.000000,51510,100.00
SOFFA ELECTRIC INC.,335313,CA,2025,Q2,1,1,139360.000000,139360,100.00
ARDRA TECH SOLUTIONS LLC,541511,MD,2025,Q2,2,2,128825.000000,147000,100.00
"MINNESOTA STATE UNIVERSITY, MANKATO",611310,MN,2026,Q1,1,1,46689.000000,46689,100.00
"AVALONBAY COMMUNITIES, INC.",531110,VA,2026,Q1,1,1,151000.000000,151000,100.00
"THOUGHTSPOT, INC.",513210,CA,2026,Q1,1,1,178506.000000,178506,100.00
CITY OF AUSTIN - AUSTIN ENERGY,921190,TX,2026,Q1,1,1,139613.000000,139613,100.00
"PREMIUM PEOPLE GROUP, LLC.",541511,NC,2026,Q1,1,1,108077.000000,108077,100.00
"INSIGNEO SECURITIES, LLC",523940,FL,2026,Q1,2,2,138500.000000,138500,100.00
SRI VARADAVINAYAKA INC DBA INNOVANT TECH,541511,TX,2026,Q1,2,2,101628.500000,109283,100.00
"SEVENTYNINE SOLUTIONS, INC.",541519,TX,2026,Q1,1,1,126818.000000,126818,100.00
CHICO STATE ENTERPRISES,5417,CA,2025,Q2,1,1,74000.000000,74000,100.00
ESL VISION LLC,33511,UT,2025,Q2,1,1,79602.000000,79602,100.00
"EMPIRE MERCHANTS NORTH, LLC",424820,NY,2025,Q2,1,1,98856.000000,98856,0.00
I SQUARED CAPITAL ADVISORS (US) LLC,523920,FL,2025,Q2,1,1,175000.000000,175000,100.00
EXXON MOBIL CORPORATION,2111,TX,2025,Q2,1,1,543687.000000,543687,100.00
BEST SOLUTION MORTGAGE INC,52231,NY,2025,Q2,1,1,58.000000,58,100.00
"TECRA SYSTEMS, INC",541511,TX,2025,Q2,1,1,120000.000000,120000,100.00
CLIQ SOLUTIONS LLC,541511,VA,2025,Q2,1,1,97160.000000,97160,100.00
TELUS INTERNATIONAL DIGITAL SOLUTIONS LLC,541512,NV,2025,Q2,2,2,113808.500000,124803,100.00
VIAGOGO INC.,454110,NY,2025,Q2,1,1,345000.000000,345000,100.00
KAVI SOLUTIONS INC,541513,CA,2025,Q2,1,1,125000.000000,125000,0.00
ARDENT COMPANY LLC,237310,VA,2025,Q2,2,2,128700.000000,135200,100.00
"IVY ENTERPRISES, INC.",42399,NY,2025,Q2,1,1,130000.000000,130000,100.00
"ARPU RESEARCH LABS, INC.",54199,CA,2025,Q2,1,1,33.000000,33,100.00
"ELECTRONIC ARTS - TIBURON, A FLORIDA CORPORATION",541511,CA,2025,Q2,2,2,93147.000000,97594,100.00
"GREAT ELM CAPITAL MANAGEMENT, LLC",523150,MA,2025,Q2,1,1,100942.000000,100942,100.00
"MATIKON AMERICA, INC.",336360,MI,2025,Q2,1,1,110000.000000,110000,100.00
"SITETRACKER, INC.",541511,NJ,2025,Q2,1,1,150000.000000,150000,100.00
"CHS SHARED BUSINESS OPERATIONS, LLC",5412,TN,2025,Q2,1,1,108000.000000,108000,0.00
"DUPONT SPECIALTY PRODUCTS USA, LLC",32519,DE,2025,Q2,2,2,124981.500000,131506,100.00
"BROAN-NUTONE, LLC",335210,WI,2025,Q2,1,1,130644.000000,130644,100.00
NYS OFFICE OF INFORMATION TECHNOLOGY SERVICES,541513,NY,2025,Q2,1,1,96336.000000,96336,100.00
BEACON HILL MERCHANTS ASSOCIATION,813910,WA,2025,Q2,1,1,40.000000,40,100.00
