JOB_TITLE,SOC_CODE,SOC_TITLE,YEAR,QUARTER,TOTAL_CASES,TOTAL_WORKERS,AVG_SALARY,MAX_SALARY,APPROVAL_RATE
SUPPLY PLANNER III,13-1081.02,Logistics Analysts,2025,Q2,1,1,91770.000000,91770,100.00
PHARMACOVIGILANCE TRIAGE MANAGER II,13-1041.07,Regulatory Affairs Specialists,2025,Q2,1,1,135054.000000,135054,100.00
DEVOPS ENGINEER,15-2051.01,Business Intelligence Analysts,2025,Q2,1,1,111509.000000,111509,100.00
SENIOR SYSTEMS ANALYST,13-2099.01,Financial Quantitative Analysts,2025,Q2,1,1,115000.000000,115000,100.00
IT TECHNICAL PLATFORM MANAGER,15-1299.09,Information Technology Project Managers,2025,Q2,1,1,134597.000000,134597,100.00
BUSINESS INTELLIGENCE ANALYST IV (SR. BI ANALYST),15-2051.00,Data Scientists,2025,Q2,1,1,158642.000000,158642,100.00
NEW MARKET SPECIALIST,13-1161.00,Market Research Analysts and Marketing Specialists,2025,Q2,1,1,21.000000,21,0.00
CLIENT SERVICE RESEARCH ASSOCIATE,13-2051.00,Financial and Investment Analysts,2025,Q2,1,1,115731.000000,115731,100.00
BRIDGE DESIGNER II,17-2051.00,Civil Engineers,2025,Q2,1,1,87038.000000,87038,100.00
PRINCIPAL ENGINEER (017040.001775),15-1252.00,Software Developers,2025,Q2,1,1,155688.000000,155688,100.00
SUSTAINABILITY ANALYST,15-2051.01,Business Intelligence Analysts,2025,Q2,1,1,102600.000000,102600,100.00
SENIOR PLATFORM MANAGER,15-1211.00,Computer Systems Analysts,2025,Q2,1,1,224000.000000,224000,100.00
QA TEST AUTOMATION MANAGER,15-1253.00,Software Quality Assurance Analysts and Testers,2025,Q2,1,1,90000.000000,90000,100.00
LA SENIOR ENTERTAINMENT REPORTER,27-3023.00,"News Analysts, Reporters, and Journalists",2025,Q2,1,1,50315.000000,50315,100.00
CLINICAL FACULTY,25-1071.00,"Health Specialties Teachers, Postsecondary",2025,Q2,1,1,55.000000,55,100.00
ASSOCIATE PROJECT SCIENTIST,19-1021.00,Biochemists and Biophysicists,2025,Q2,1,1,99000.000000,99000,100.00
VOICE ANALYST/NETWORK ENGINEER,15-1241.00,Computer Network Architects,2025,Q2,1,1,113714.000000,113714,100.00
PRICING AND PACKAGING,13-1082.00,Project Management Specialists,2025,Q2,1,1,180000.000000,180000,100.00
FIFTH GRADE TEACHER,25-2021.00,"Elementary School Teachers, Except Special Education",2025,Q2,1,1,58629.000000,58629,100.00
STORAGE SUPPORT ADMIN,15-1244.00,Network and Computer Systems Administrators,2025,Q2,1,1,94661.000000,94661,100.00
