WORKSITE_STATE,WORKSITE_CITY,YEAR,QUARTER,TOTAL_CASES,TOTAL_WORKERS,AVG_SALARY,MAX_SALARY,APPROVAL_RATE
CA,COALINGA,2025,Q2,1,1,5610.000000,5610,100.00
NJ,SOUTH BRUNSWICK,2025,Q2,2,2,165757.000000,210000,100.00
NC,NORTH CAROLINA,2026,Q1,3,3,145944.000000,190000,100.00
PA,LANCASTER,2026,Q1,7,7,75943.571429,103246,85.71
NJ,PRICETON,2026,Q1,1,1,89773.000000,89773,100.00
PA,CRANBERRY TOWNSHIP,2026,Q1,2,2,141598.500000,146615,100.00
NY,WATERTOWN,2026,Q1,2,2,254330.000000,399127,100.00
AR,SPRINGDALE,2026,Q1,7,7,60842.714286,174200,57.14
TX,ROBSTOWN,2026,Q1,1,1,140000.000000,140000,100.00
NC,HOLLYSPRINGS,2026,Q1,3,3,145198.000000,208500,100.00
NY,NIAGARA UNIVERSITY,2025,Q2,1,1,105000.000000,105000,100.00
NY,NEW YROK,2025,Q2,1,1,184000.000000,184000,100.00
CA,GRANITE BAY,2025,Q2,1,1,146245.000000,146245,100.00
VA,LORTON,2025,Q2,1,1,77875.000000,77875,100.00
NY,KEW GARDENS,2025,Q2,2,2,25037.000000,50000,100.00
FL,ORANGE CITY,2025,Q2,3,3,279487.333333,375000,100.00
PA,JESSUP,2025,Q2,1,1,160700.000000,160700,100.00
MN,STILLWATER,2025,Q2,1,1,150363.000000,150363,100.00
IL,GREENVILLE,2025,Q2,1,1,43077.000000,43077,100.00
NC,LUMBERTON,2025,Q2,1,1,213167.000000,213167,100.00
OH,HARRISON,2025,Q2,1,1,225000.000000,225000,100.00
FL,BARTOW,2025,Q2,1,1,94370.000000,94370,100.00
UT,SPRINGVILLE,2025,Q2,1,1,105000.000000,105000,100.00
NJ,ROSELLE PARK,2025,Q2,1,1,179982.000000,179982,100.00
TX,STE G600,2025,Q2,1,1,550000.000000,550000,100.00
WA,"KIRKLAND, WA 98034",2025,Q2,1,1,191500.000000,191500,0.00
IL,MATTESON,2025,Q2,1,1,91000.000000,91000,100.00
MA,AUBURNDALE,2025,Q2,1,1,98966.000000,98966,100.00
CA,BERKELY,2025,Q2,1,1,108110.000000,108110,100.00
NJ,OCEANPORT,2025,Q2,1,1,99199.000000,99199,100.00
FL,FLAGLER,2025,Q2,1,1,125000.000000,125000,100.00
PA,WEST CONSHOHOCKEN,2026,Q1,1,1,185000.000000,185000,100.00
MN,COTTAGE GROVE,2026,Q1,1,1,88986.000000,88986,100.00
KY,FORT MITCHELL,2026,Q1,1,1,79722.000000,79722,100.00
GA,CUMMINGS,2026,Q1,1,1,160056.000000,160056,100.00
MI,RICHLAND,2026,Q1,1,1,71656.000000,71656,100.00
OH,NORTH RIDGEVILLE,2026,Q1,2,2,105000.000000,120000,100.00
IL,"BUFFALO GROVE,",2026,Q1,1,40,35.000000,35,100.00
NM,"LAS CRUCES,",2026,Q1,1,40,31.000000,31,100.00
ND,ENDERLIN,2026,Q1,1,1,85000.000000,85000,100.00
NC,KANNAPOLIS,2026,Q1,6,6,117641.333333,135000,83.33
CO,FORT MORGAN,2026,Q1,6,6,67864.166667,192103,100.00
NC,ZEBULON,2026,Q1,1,1,104800.000000,104800,100.00
WI,MT. PLEASANT,2026,Q1,2,2,80000.000000,80000,100.00
NC,SHELBY,2026,Q1,1,1,307510.000000,307510,100.00
CT,EAST WINDSOR,2026,Q1,2,2,115200.500000,126339,100.00
MN,CARVER,2026,Q1,1,1,145018.000000,145018,100.00
MD,FREDREICK,2026,Q1,1,1,106912.000000,106912,100.00
CA,CITRUS HEIGHTS,2026,Q1,3,3,26504.333333,79373,100.00
GA,SANDY SPRING,2026,Q1,1,1,156300.000000,156300,100.00
OH,NEW CONCORD,2026,Q1,2,2,58880.000000,58880,100.00
NJ,BOUND BROOK,2026,Q1,2,2,61174.500000,81685,100.00
TN,126 JOYNER COURT,2026,Q1,1,1,107432.000000,107432,100.00
NY,RONKONKOMA,2026,Q1,1,1,127400.000000,127400,100.00
CO,BRECKENRIDGE,2026,Q1,1,1,118.000000,118,100.00
IL,"ST ELMO,",2026,Q1,1,40,34.000000,34,100.00
NJ,SCOTCH PLAINS,2026,Q1,1,1,113000.000000,113000,100.00
MA,NORTH CHELMSFORD,2026,Q1,3,3,151994.000000,178131,100.00
CA,LOS ANGLES,2026,Q1,1,1,180000.000000,180000,100.00
NJ,EAST  WINDSOR,2025,Q2,1,1,158568.000000,158568,100.00
IL,FREEPORT,2025,Q2,1,1,44100.000000,44100,100.00
MA,WHITMAN,2025,Q2,1,1,156605.000000,156605,100.00
NM,CLAYTON,2025,Q2,1,1,31.000000,31,100.00
NC,STALLINGS,2025,Q2,1,1,116294.000000,116294,100.00
CO,GREELY,2025,Q2,1,1,245000.000000,245000,100.00
TX,IRIVING,2025,Q2,1,1,51.000000,51,100.00
NJ,BRIDGEWATER TWP,2026,Q1,1,1,185790.000000,185790,100.00
NE,YORK,2026,Q1,1,1,36.000000,36,100.00
GA,JEFFERSON,2026,Q1,2,2,65000.000000,65000,100.00
PA,ST DAVIDS,2026,Q1,1,1,92394.000000,92394,100.00
IA,ESTHERVILLE,2026,Q1,1,1,33.000000,33,100.00
