EMPLOYER_NAME,JOB_TITLE,WORKSITE_STATE,YEAR,QUARTER,WAGE_FROM,PREVAILING_WAGE,WAGE_DIFFERENCE,WAGE_CATEGORY
"SALESFORCE, INC.",SOFTWARE ENGINEERING AMTS,WA,2025,Q2,137639,99736,37903,ABOVE_PREVAILING
UNIVERSITY OF WISCONSIN SYSTEM,ASSISTANT PROFESSOR,WI,2025,Q2,135252,60350,74902,ABOVE_PREVAILING
GOOGLE LLC,SOFTWARE ENGINEER,WA,2025,Q2,139000,137259,1741,ABOVE_PREVAILING
"THE AYCO COMPANY, L.P., A GOLDMAN SACHS COMPANY","ANALYST, SALES",IL,2025,Q2,67200,55786,11414,ABOVE_PREVAILING
"OPTUM SERVICES, INC. ",SYSTEMS MGMT ANALYST,CA,2025,Q2,139589,139589,0,EQUAL
NANU CONSTRUCTION INC.,CONSTRUCTION COST ESTIMATOR,TX,2025,Q2,110000,92331,17669,ABOVE_PREVAILING
9LOGIC TECHNOLOGIES INC,SOFTWARE ENGINEER,TX,2025,Q2,105997,105997,0,EQUAL
"CITIBANK, N.A.",APPLICATIONS DEVELOPMENT TECH LEAD ANALYST,TX,2025,Q2,175000,149781,25219,ABOVE_PREVAILING
"META PLATFORMS, INC",SOFTWARE ENGINEER,CA,2025,Q2,178360,155605,22755,ABOVE_PREVAILING
INFOSYS LIMITED,TECHNOLOGY PROJECT LEAD 1,TX,2025,Q2,83658,83658,0,EQUAL
ROBERT BOSCH LLC,CALIBRATION ENGINEER,MI,2025,Q2,97662,87589,10073,ABOVE_PREVAILING
GOOGLE LLC,UX RESEARCHER,NY,2025,Q2,195000,113693,81307,ABOVE_PREVAILING
CREATIVE GARDENS EARLY EDUCATION VA LLC,"ADMINISTRATOR, CHILDHOOD EDUCATION",VA,2025,Q2,90000,79061,10939,ABOVE_PREVAILING
"EXLSERVICE.COM, LLC",MANAGER,NJ,2025,Q2,107000,103709,3291,ABOVE_PREVAILING
"MAXLINEAR, INC.",SENIOR SOFTWARE ENGINEER,CA,2025,Q2,126942,126880,62,ABOVE_PREVAILING
"BLST OPERATING COMPANY, LLC",CREDIT RISK MANAGER,FL,2025,Q2,100961,100961,0,EQUAL
"META PLATFORMS, INC",SOFTWARE ENGINEER,WA,2025,Q2,163862,163862,0,EQUAL
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,SR. MGR. JC45 - INFORMATION TECHNOLOGY PROJECT MANAGERS,CA,2025,Q2,173638,173638,0,EQUAL
"EXLSERVICE.COM, LLC",PROJECT MANAGER,NY,2025,Q2,142771,142771,0,EQUAL
"CITIBANK, N.A.",APPLICATIONS DEVELOPMENT TECH SENIOR LEAD ANALYST,NJ,2025,Q2,218400,179982,38418,ABOVE_PREVAILING
GOLDMAN SACHS & CO. LLC,"ASSOCIATE, SOFTWARE ENGINEERING",NY,2025,Q2,152000,123656,28344,ABOVE_PREVAILING
GOLDMAN SACHS & CO. LLC,ASSOCIATE,TX,2025,Q2,87000,86923,77,ABOVE_PREVAILING
"SANTANDER HOLDINGS USA, INC.","DIRECTOR, ANALYTICS",TX,2025,Q2,220000,121784,98216,ABOVE_PREVAILING
SNAP INC.,SOFTWARE ENGINEER (4),CA,2025,Q2,172022,172022,0,EQUAL
GRANULES PHARMACEUTICALS INC.,SENIOR PRICING ANALYST/MANAGER,VA,2025,Q2,130000,91416,38584,ABOVE_PREVAILING
3B STAFFING LLC,BUSINESS ANALYST,AZ,2025,Q2,76000,73757,2243,ABOVE_PREVAILING
"COMCAST CABLE COMMUNICATIONS, LLC","MANAGER 1, ENTERPRISE DATA ENGINEERING",PA,2025,Q2,129107,129107,0,EQUAL
UBS BUSINESS SOLUTIONS US LLC,"DIRECTOR, PRODUCT OWNER, PRODUCT MANAGER, CHAPTER LEAD 0755",NJ,2025,Q2,190000,179982,10018,ABOVE_PREVAILING
LTIMINDTREE LIMITED,COMPUTER SYSTEMS ENGINEER/ARCHITECT,TX,2025,Q2,83658,83658,0,EQUAL
"SIEMENS FINANCIAL SERVICES, INC.",CREDIT RISK & DATA ANALYST II,NJ,2025,Q2,128000,107765,20235,ABOVE_PREVAILING
"CITIBANK, N.A.",APPLICATIONS DEVELOPMENT TECH LEAD ANALYST,TX,2025,Q2,155526,149781,5745,ABOVE_PREVAILING
"DIGITAL DATUM, INC.",SAP FUNCTIONAL ARCHITECT,CO,2025,Q2,94000,93350,650,ABOVE_PREVAILING
"ARUP US, INC.",SENIOR CONSULTANT,CA,2025,Q2,115294,115294,0,EQUAL
AETNA RESOURCES LLC,"SR MGR,APPLICATION DEV (IC)",VA,2025,Q2,130702,122699,8003,ABOVE_PREVAILING
UNIVERSITY OF MAINE,"ASSISTANT PROFESSOR, SOCIAL WORK",ME,2025,Q2,71999,56122,15877,ABOVE_PREVAILING
"AMAZON WEB SERVICES, INC.",DATA SCIENTIST III,MN,2025,Q2,191070,119163,71907,ABOVE_PREVAILING
NATIONAL QUALITY FORUM,"SENIOR MANAGING DIRECTOR, PRODUCT LEAD",AL,2025,Q2,200000,166296,33704,ABOVE_PREVAILING
ACE AMERICAN INSURANCE COMPANY,PRINCIPAL SOFTWARE ENGINEER,NJ,2025,Q2,193000,179982,13018,ABOVE_PREVAILING
FCA US LLC,SAFETY PERFORMANCE ENGINEER,MI,2025,Q2,112200,102731,9469,ABOVE_PREVAILING
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,SR. MGR. JC45 - INFORMATION TECHNOLOGY PROJECT MANAGERS,CT,2025,Q2,124030,124030,0,EQUAL
"ELSEVIER, INC. ","SENIOR PRINCIPAL, TECHNICAL INFORMATICS",PA,2025,Q2,150969,107245,43724,ABOVE_PREVAILING
"ARUP US, INC.",DIGITAL CONSULTANT,CA,2025,Q2,102294,102294,0,EQUAL
"INSTITUTE FOR THE STUDY OF WAR, INC.",CHINA PROGRAM RESEARCHER,DC,2025,Q2,65000,55203,9797,ABOVE_PREVAILING
"SRS CONSULTING, INC.",SOFTWARE DEVELOPER,OH,2025,Q2,105000,102627,2373,ABOVE_PREVAILING
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,MGR. JC50 - SOFTWARE QUALITY ASSURANCE ANALYSTS AND TESTERS,NJ,2025,Q2,126838,126838,0,EQUAL
"MAXLINEAR, INC.",SENIOR SOFTWARE ENGINEER,CA,2025,Q2,126942,126880,62,ABOVE_PREVAILING
HCL AMERICA INC,SENIOR PROGRAM MANAGER,NC,2025,Q2,140641,92602,48039,ABOVE_PREVAILING
"TESLA, INC.",SR. CONTROLS ENGINEER,TX,2025,Q2,168505,116605,51900,ABOVE_PREVAILING
"KAAR TECHNOLOGIES, INC. ",ARCHITECT,TX,2025,Q2,120000,83658,36342,ABOVE_PREVAILING
"JRI AMERICA, INC.","ASSOCIATE, COMPUTER SYSTEMS",CA,2025,Q2,115656,115656,0,EQUAL
"META PLATFORMS, INC",SOFTWARE ENGINEER,WA,2025,Q2,176361,137259,39102,ABOVE_PREVAILING
VERIZON CORPORATE RESOURCES GROUP LLC,PRINC ENGR-PRODUCT ENGRING,NY,2025,Q2,176851,156954,19897,ABOVE_PREVAILING
JPMORGAN CHASE & CO.,"ASSOCIATE, NA RATES SALES",NY,2025,Q2,150000,146141,3859,ABOVE_PREVAILING
AMAZON.COM SERVICES LLC,SOFTWARE DEVELOPMENT ENGINEER I,WA,2025,Q2,135100,110635,24465,ABOVE_PREVAILING
"ARM, INC.",STAFF ENGINEER,CA,2025,Q2,166941,166941,0,EQUAL
VW CREDIT INC.,"DIRECTOR, CUSTOMER & DEALER TECHNOLOGIES",VA,2025,Q2,223912,223912,0,EQUAL
"AVANTYR CAPITAL PARTNERS, LP","MANAGING DIRECTOR, INDUSTRIALS",NY,2025,Q2,350000,233397,116603,ABOVE_PREVAILING
"META PLATFORMS, INC",SOFTWARE ENGINEER,CA,2025,Q2,185644,155605,30039,ABOVE_PREVAILING
"SALESFORCE, INC.",SOFTWARE ENGINEERING LMTS,CA,2025,Q2,233472,180960,52512,ABOVE_PREVAILING
AMAZON.COM SERVICES LLC,DATA SCIENTIST III,IL,2025,Q2,194810,116334,78476,ABOVE_PREVAILING
SEATTLE CHILDREN'S HOSPITAL,"DATA ENGINEER, PRINCIPAL",WA,2025,Q2,153434,81432,72002,ABOVE_PREVAILING
"META PLATFORMS, INC",DATA SCIENTIST,CA,2025,Q2,182583,128398,54185,ABOVE_PREVAILING
ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP,IT-CLOUD DATA PLATFORM ADMINISTRATOR SENIOR,FL,2025,Q2,145500,89294,56206,ABOVE_PREVAILING
MARATHON PETROLEUM COMPANY LP,SENIOR SOFTWARE ENGINEER,OH,2025,Q2,122026,119808,2218,ABOVE_PREVAILING
AMAZON.COM SERVICES LLC,PRODUCT MANAGER III - TECHNICAL,WA,2025,Q2,151200,148991,2209,ABOVE_PREVAILING
TATA CONSULTANCY SERVICES LIMITED,DATABASE ADMINISTRATOR,WA,2025,Q2,170000,97885,72115,ABOVE_PREVAILING
"AMAZON WEB SERVICES, INC.",SUPPORT ENGINEER I-EXTERNAL,TX,2025,Q2,86880,79227,7653,ABOVE_PREVAILING
MAN INVESTMENTS USA HOLDINGS INC,DIRECTOR,NY,2025,Q2,191000,190653,347,ABOVE_PREVAILING
INTEL CORPORATION,SOC DESIGN ENGINEER,PA,2025,Q2,191214,191214,0,EQUAL
GOOGLE LLC,SOFTWARE ENGINEER,CA,2025,Q2,220000,199534,20466,ABOVE_PREVAILING
"SALESFORCE, INC.",TECHNICAL SUPPORT ENGINEER,IN,2025,Q2,95492,84115,11377,ABOVE_PREVAILING
"KENSHO TECHNOLOGIES, LLC",APPLIED SCIENTIST,NY,2025,Q2,195000,170373,24627,ABOVE_PREVAILING
"CITIBANK, N.A.",INFO SEC TECH LEAD ANALYST,TX,2025,Q2,158000,144789,13211,ABOVE_PREVAILING
"FIDELITY TECHNOLOGY GROUP, LLC D/B/A FIDELITY INVESTMENTS",PRINCIPAL DIGITAL ASSETS ENGINEER,NC,2025,Q2,141170,141170,0,EQUAL
CRIMSON PROGRESS GROUP LLC,CONSULTANT (SUPPLY CHAIN/PROCUREMENT),IL,2025,Q2,98000,87464,10536,ABOVE_PREVAILING
"ALVAREZ & MARSAL TRANSACTION ADVISORY GROUP, LLC",SENIOR ASSOCIATE,NY,2025,Q2,100000,75733,24267,ABOVE_PREVAILING
AMAZON.COM SERVICES LLC,SAFETY SPECIALIST I,MI,2025,Q2,60695,54912,5783,ABOVE_PREVAILING
"META PLATFORMS, INC",SOFTWARE ENGINEER,WA,2025,Q2,169442,137259,32183,ABOVE_PREVAILING
GOOGLE LLC,SILICON GENERALIST,CA,2025,Q2,146000,140020,5980,ABOVE_PREVAILING
